Тип;Название;Ккал;Белки;Жиры;Углеводы;МассаПорции;Примечание;Источник
ПРОДУКТ;0.0% Radler minder zoet;19;0.5;0;4.6;0;;
ПРОДУКТ;0.5% Fat Fresh Skimmed Milk;36;3.1;0.5;4.7;0;;
ПРОДУКТ;0930,estu6Tr;100;100;100;100;0;;
ПРОДУКТ;100 % Laranja Natural;47;0.7;0.2;10.5;0;;
ПРОДУКТ;100 % грейпфрутовый сок;40;0;0;10;0;;
ПРОДУКТ;100 г очищенных жареных семечек;710;26;65;6;0;;
ПРОДУКТ;100% Golden Whey Pro Капучино;394;69.7;7.58;6.06;0;;
ПРОДУКТ;100% Pure Orange Juice;42;0.6;0.1;10;0;;
ПРОДУКТ;100% Pure Whey Биологически активная добавка к пище;382;75;6.4;5.6;0;;
ПРОДУКТ;100% frutta succo di arancia di Sicilia;33;0.6;0;8.1;0;;
ПРОДУКТ;100% Коллаген без вкуса;400;100;0.1;0.1;0;;
ПРОДУКТ;140 g;371;5;5;73;0;;
ПРОДУКТ;15 Backfisch-Stäbchen;175;11;7.3;16;0;;
ПРОДУКТ;15% сметана;160;2.9;15;3;0;;
ПРОДУКТ;1668 Sour Cream 15;157.4;2.7;15;2.9;0;;
ПРОДУКТ;2 Lemon Curd Iced Buns;334;4.8;6.9;62.3;0;;
ПРОДУКТ;2,3 Fat Kefir;49;2.7;2.3;4.4;0;;
ПРОДУКТ;20 Protein yoghurt;99;10;1.6;10;0;;
ПРОДУКТ;20 копеек;237;3.9;14.5;22.6;0;;
ПРОДУКТ;20% skābais krējums;204;2.8;20;3.2;0;;
ПРОДУКТ;21 06 E852913 Doritos BITS SWEET PAPRIKA FLAVOUR;514;6.1;25;59;0;;
ПРОДУКТ;2: Спагетти тонкие;350;13;1.5;72;0;;
ПРОДУКТ;3 in 1 Coffee;106.67;1.33;3.33;17.33;0;;
ПРОДУКТ;3 Спагетти;340;10;1;72;0;;
ПРОДУКТ;3 корочки сыр;410;11;10;68;0;;
ПРОДУКТ;3 корочки сёмга сыр;390;10;10;65;0;;
ПРОДУКТ;30 куриных яиц;160.13;12.7;11.5;0.7;0;;
ПРОДУКТ;30112024 31430202A5;537;6.6;34;46;0;;
ПРОДУКТ;343: Перья;350;13;1.5;72;0;;
ПРОДУКТ;35 со вкусом шоколада;537.76;5.5;33;55;0;;
ПРОДУКТ;35 со сливочной начинкой;527.49;4.5;30;60;0;;
ПРОДУКТ;4 Bâtonnets Chocolat au lait cookies;334;3.7;20;33;0;;
ПРОДУКТ;5 x Milchschnitte / 4 x Kinder Pingui;490.12;7.9;27.9;34;0;;
ПРОДУКТ;5 батончиков Snickers;496.41;7.6;25.8;58.3;0;;
ПРОДУКТ;5 злаков;350;12;3;70;0;;
ПРОДУКТ;5 злаков хлопья зерновые;370;12;3;73;0;;
ПРОДУКТ;6 HOLLANDSKE VAFLER;441;3.5;17;68;0;;
ПРОДУКТ;7 Brownies au chocolat;475;5.4;30;47;0;;
ПРОДУКТ;777 чеснок;341;0.7;10;72;0;;
ПРОДУКТ;7days braskes ir vaniles;436;5.3;25;46;0;;
ПРОДУКТ;7up;44;0;0;11;0;;
ПРОДУКТ;8 Овощей Овощная Смесь;45;2.5;0.2;8;0;;
ПРОДУКТ;8 злаков;278;10.3;9.7;37.1;0;;
ПРОДУКТ;ACEITUNAS PARTIDAS ALIÑADAS ESTILO CHUPADEDOS;140;1.4;14;0;0;;
ПРОДУКТ;AGURKŲ GARSTYČIŲ SALOTOS;91;1.5;1.1;18;0;;
ПРОДУКТ;AH Halfvolle koffiemelk;120;7.5;4.5;12;0;;
ПРОДУКТ;ALPEN GOLD;538;4.4;30;61;0;;
ПРОДУКТ;ANCHOR масло сливочное;740;0.6;82.9;0.6;0;;
ПРОДУКТ;Acacia Honey;12.19;0;0;3;0;;
ПРОДУКТ;Accoрти Краковское. Желе в шоколаде;355;0.8;7.3;70;0;;
ПРОДУКТ;Aceto Balsamico di Modena I.G.P. Invecchiato;82.3;0.84;6.21;5.26;0;;
ПРОДУКТ;Aceto Balsamico di Modena IGP (Уксус бальзамический;184;0.5;0;41;0;;
ПРОДУКТ;Actimel Вишня;72.97;2.9;1.5;11.5;0;;
ПРОДУКТ;Actimel Гранат;72.15;2.7;1.5;11.5;0;;
ПРОДУКТ;Actimel Земляника и шиповник;72.15;2.7;1.5;11.5;0;;
